fork,url,commits_from_user_on_fork,returned,created_at,pushed_at,user
Huxellberger/OpenXcom,https://github.com/Huxellberger/OpenXcom,2,False,2018-04-08T17:01:23Z,2018-04-13T17:54:23Z,Huxellberger
razluta/OpenXcom,https://github.com/razluta/OpenXcom,0,False,2018-04-09T03:17:16Z,2018-04-09T02:04:02Z,razluta
rdwhite/OpenXcom,https://github.com/rdwhite/OpenXcom,0,False,2018-04-10T05:30:21Z,2018-04-10T01:19:39Z,rdwhite
oss-qm/OpenXcom,https://github.com/oss-qm/OpenXcom,0,False,2018-04-27T17:20:07Z,2018-04-27T17:30:23Z,oss-qm
teachtmhar/OpenXcom,https://github.com/teachtmhar/OpenXcom,0,False,2018-05-02T01:03:13Z,2018-05-01T19:27:37Z,teachtmhar
justinhachemeister/OpenXcom,https://github.com/justinhachemeister/OpenXcom,0,False,2018-05-12T20:16:00Z,2018-05-10T18:33:08Z,justinhachemeister
cxz/OpenXcom,https://github.com/cxz/OpenXcom,0,False,2018-06-02T18:39:56Z,2018-05-18T00:51:39Z,cxz
DaKing/OpenXcom,https://github.com/DaKing/OpenXcom,0,False,2018-06-03T00:11:14Z,2018-05-18T00:51:39Z,DaKing
Sondro/OpenXcom,https://github.com/Sondro/OpenXcom,0,False,2018-06-30T06:52:10Z,2018-06-22T00:59:34Z,Sondro
Player701/OpenXcom,https://github.com/Player701/OpenXcom,8,True,2018-07-01T17:12:59Z,2020-07-24T13:20:41Z,Player701
feiyunw/OpenXcom,https://github.com/feiyunw/OpenXcom,1,True,2018-07-05T08:59:23Z,2020-12-20T14:49:23Z,feiyunw
aap4ixx/OpenXcom,https://github.com/aap4ixx/OpenXcom,0,False,2018-07-12T07:54:58Z,2018-07-09T16:29:53Z,aap4ixx
dopplershift/OpenXcom,https://github.com/dopplershift/OpenXcom,2,True,2018-07-25T19:35:45Z,2021-04-21T18:18:46Z,dopplershift
adesst/OpenXcom,https://github.com/adesst/OpenXcom,1,True,2018-07-27T12:31:09Z,2020-04-19T04:42:59Z,adesst
zxzAndyMAC/OpenXcom,https://github.com/zxzAndyMAC/OpenXcom,0,False,2018-08-08T08:32:48Z,2018-08-03T10:35:16Z,zxzAndyMAC
sosga/openxcom,https://github.com/sosga/openxcom,0,False,2018-08-15T19:50:14Z,2021-04-01T19:53:17Z,sosga
JayDT/OpenXcom,https://github.com/JayDT/OpenXcom,1,False,2018-09-21T08:50:53Z,2018-09-21T12:53:01Z,JayDT
cpu123/OpenXcom,https://github.com/cpu123/OpenXcom,0,False,2018-10-18T06:32:31Z,2018-10-18T04:28:14Z,cpu123
prycejs/OpenXcom,https://github.com/prycejs/OpenXcom,0,False,2018-10-19T07:21:58Z,2018-10-19T00:34:58Z,prycejs
loomdoom/OpenXcom,https://github.com/loomdoom/OpenXcom,0,False,2018-10-28T11:25:54Z,2018-10-28T04:19:51Z,loomdoom
janisozaur/OpenXcom,https://github.com/janisozaur/OpenXcom,0,False,2018-10-28T21:01:31Z,2018-10-28T21:05:23Z,janisozaur
Nalca/OpenXcom,https://github.com/Nalca/OpenXcom,0,False,2018-10-29T09:11:30Z,2018-10-29T06:15:18Z,Nalca
iamchairs/OpenXcom,https://github.com/iamchairs/OpenXcom,0,False,2018-11-03T20:39:29Z,2019-12-16T21:53:06Z,iamchairs
Beep6581/OpenXcom,https://github.com/Beep6581/OpenXcom,1,True,2018-12-04T16:31:21Z,2018-12-04T16:46:35Z,Beep6581
padtedesco/OpenXcom,https://github.com/padtedesco/OpenXcom,0,False,2018-12-15T12:41:40Z,2018-12-05T18:52:23Z,padtedesco
d3m3vilurr/OpenXcom,https://github.com/d3m3vilurr/OpenXcom,0,False,2019-01-21T01:41:54Z,2019-02-27T15:16:43Z,d3m3vilurr
mewbak/OpenXcom,https://github.com/mewbak/OpenXcom,0,False,2019-02-14T14:19:00Z,2019-12-25T18:15:36Z,mewbak
agordeevw/OpenXcom,https://github.com/agordeevw/OpenXcom,0,False,2019-03-11T17:05:35Z,2019-03-07T18:03:47Z,agordeevw
KrugerHeavyIndustries/OpenXcom,https://github.com/KrugerHeavyIndustries/OpenXcom,0,False,2019-03-13T01:06:41Z,2019-03-12T21:33:19Z,KrugerHeavyIndustries
scprivate/OpenXcom,https://github.com/scprivate/OpenXcom,0,False,2019-03-30T00:08:47Z,2019-03-12T21:33:19Z,scprivate
MrWahWahFixit/OpenXcom,https://github.com/MrWahWahFixit/OpenXcom,0,False,2019-04-19T14:15:52Z,2019-04-07T17:41:11Z,MrWahWahFixit
spiderman82/OpenXcom,https://github.com/spiderman82/OpenXcom,0,False,2019-04-20T18:49:15Z,2019-04-07T17:41:11Z,spiderman82
NQNStudios/OpenXcom,https://github.com/NQNStudios/OpenXcom,0,False,2019-05-14T02:27:04Z,2019-05-11T19:11:11Z,NQNStudios
brucehs/OpenXcom,https://github.com/brucehs/OpenXcom,3,False,2019-05-24T22:48:34Z,2020-01-15T15:07:08Z,brucehs
MoonDog-/OpenXcom,https://github.com/MoonDog-/OpenXcom,0,False,2019-06-07T04:50:33Z,2019-06-05T10:34:46Z,MoonDog-
adityavs/OpenXcom,https://github.com/adityavs/OpenXcom,0,False,2019-07-18T13:32:56Z,2019-07-09T23:42:36Z,adityavs
Siern/OpenXcom,https://github.com/Siern/OpenXcom,0,False,2019-08-10T23:05:56Z,2019-08-10T23:13:31Z,Siern
jacob-likens/OpenXcom,https://github.com/jacob-likens/OpenXcom,0,False,2019-08-13T19:53:40Z,2019-08-13T10:58:43Z,jacob-likens
xhwyli/OpenXcom,https://github.com/xhwyli/OpenXcom,0,False,2019-09-13T20:14:16Z,2019-09-12T11:44:16Z,xhwyli
joaoiora/OpenXcom,https://github.com/joaoiora/OpenXcom,0,False,2019-09-22T18:25:03Z,2019-09-21T16:23:31Z,joaoiora
krzysztof-adamski/OpenXcom,https://github.com/krzysztof-adamski/OpenXcom,0,False,2019-10-06T13:37:28Z,2019-09-24T20:38:07Z,krzysztof-adamski
pyrokitsune777/OpenXcom,https://github.com/pyrokitsune777/OpenXcom,0,False,2019-10-13T08:50:03Z,2019-10-09T12:42:01Z,pyrokitsune777
starvindgold/OpenXcom,https://github.com/starvindgold/OpenXcom,0,False,2019-10-17T13:34:15Z,2019-10-09T12:42:01Z,starvindgold
jpfkd/OpenXcom,https://github.com/jpfkd/OpenXcom,0,False,2019-10-20T21:40:28Z,2019-10-18T10:33:53Z,jpfkd
kyapp69/OpenXcom,https://github.com/kyapp69/OpenXcom,0,False,2019-10-31T06:57:40Z,2019-10-27T13:49:45Z,kyapp69
Diego21ARG/OpenXcom,https://github.com/Diego21ARG/OpenXcom,0,False,2019-11-02T21:24:57Z,2019-11-02T21:28:10Z,Diego21ARG
kav2k/OpenXcom,https://github.com/kav2k/OpenXcom,5,True,2019-11-18T09:12:44Z,2020-03-25T15:56:04Z,kav2k
magicono43/OpenXcom,https://github.com/magicono43/OpenXcom,0,False,2019-11-23T00:43:29Z,2019-11-22T04:54:50Z,magicono43
Sickelmo83/OpenXcom,https://github.com/Sickelmo83/OpenXcom,0,False,2019-12-18T23:37:47Z,2019-12-01T10:30:35Z,Sickelmo83
maldun/OpenXcom,https://github.com/maldun/OpenXcom,0,False,2019-12-19T13:44:24Z,2020-07-08T11:20:57Z,maldun
mBr001/OpenXcom,https://github.com/mBr001/OpenXcom,0,False,2020-01-02T09:25:28Z,2020-01-01T21:08:41Z,mBr001
aybe/OpenXcom,https://github.com/aybe/OpenXcom,0,False,2020-01-03T21:18:09Z,2020-01-01T21:08:41Z,aybe
media-library/OpenXcom,https://github.com/media-library/OpenXcom,0,False,2020-01-23T07:42:49Z,2020-01-22T20:33:21Z,media-library
Galactic-Urchin/OpenXcom,https://github.com/Galactic-Urchin/OpenXcom,0,False,2020-01-25T03:54:39Z,2020-01-22T20:33:21Z,Galactic-Urchin
InfuriatedBrute/OpenXcom,https://github.com/InfuriatedBrute/OpenXcom,0,False,2020-02-01T23:59:31Z,2020-02-02T00:07:57Z,InfuriatedBrute
BigDawn/OpenXcom,https://github.com/BigDawn/OpenXcom,0,False,2020-02-15T17:02:15Z,2020-02-10T08:26:49Z,BigDawn
ChuniMuni/OpenXcom,https://github.com/ChuniMuni/OpenXcom,0,False,2020-02-22T11:08:33Z,2020-02-16T22:07:47Z,ChuniMuni
based-jace/OpenXcom,https://github.com/based-jace/OpenXcom,1,False,2020-04-05T07:40:03Z,2020-04-05T16:47:07Z,based-jace
strunz983/OpenXcom,https://github.com/strunz983/OpenXcom,0,False,2020-04-05T09:45:53Z,2020-04-05T09:11:13Z,strunz983
dirmich/OpenXcom,https://github.com/dirmich/OpenXcom,0,False,2020-04-25T08:19:29Z,2020-04-18T10:17:56Z,dirmich
earn9/OpenXcom,https://github.com/earn9/OpenXcom,0,False,2020-06-07T06:12:07Z,2020-06-05T06:10:54Z,earn9
SkyPrayerGameStudio/OpenXcom,https://github.com/SkyPrayerGameStudio/OpenXcom,0,False,2020-06-07T12:41:29Z,2020-06-05T06:10:54Z,SkyPrayerGameStudio
tomvd/OpenXcom,https://github.com/tomvd/OpenXcom,286,True,2020-07-20T11:11:38Z,2020-07-02T19:39:51Z,tomvd
Dra9o/OpenXcom,https://github.com/Dra9o/OpenXcom,0,False,2020-07-30T03:04:10Z,2020-07-24T13:17:47Z,Dra9o
KatoGuardian/OpenXcom,https://github.com/KatoGuardian/OpenXcom,0,False,2020-09-11T05:57:24Z,2020-09-04T01:57:58Z,KatoGuardian
somnolik/OpenXcom,https://github.com/somnolik/OpenXcom,0,False,2020-10-18T16:46:08Z,2020-12-10T10:04:05Z,somnolik
jeremytieman/OpenXcom,https://github.com/jeremytieman/OpenXcom,0,False,2020-10-21T23:33:31Z,2020-10-20T13:51:34Z,jeremytieman
Malibu-Stacey/OpenXcom,https://github.com/Malibu-Stacey/OpenXcom,1,True,2020-10-26T20:34:37Z,2021-01-12T19:47:22Z,Malibu-Stacey
uncletrunks/OpenXcom-od,https://github.com/uncletrunks/OpenXcom-od,17,False,2020-11-09T05:30:43Z,2020-11-20T06:15:37Z,uncletrunks
arcctgx/OpenXcom,https://github.com/arcctgx/OpenXcom,1,True,2020-12-04T20:05:21Z,2020-12-06T14:05:30Z,arcctgx
ArcticPheenix/OpenXcom,https://github.com/ArcticPheenix/OpenXcom,0,False,2020-12-07T15:03:37Z,2020-12-05T19:34:11Z,ArcticPheenix
pekka-aleksi/OpenXcom,https://github.com/pekka-aleksi/OpenXcom,0,False,2020-12-13T15:44:59Z,2020-12-05T19:34:11Z,pekka-aleksi
OpenSourceLibs/OpenXcom,https://github.com/OpenSourceLibs/OpenXcom,0,False,2020-12-15T17:28:30Z,2020-12-14T02:40:42Z,OpenSourceLibs
rujevic/OpenXcom,https://github.com/rujevic/OpenXcom,0,False,2021-02-02T15:41:30Z,2021-02-02T15:41:40Z,rujevic
goatfish/OpenXcom,https://github.com/goatfish/OpenXcom,0,False,2021-02-10T23:22:28Z,2021-02-07T17:41:47Z,goatfish
AxleUnix/OpenXcom,https://github.com/AxleUnix/OpenXcom,0,False,2021-02-14T05:58:08Z,2021-02-07T17:41:47Z,AxleUnix
pig005/OpenXcom,https://github.com/pig005/OpenXcom,3,True,2021-02-27T13:22:28Z,2021-04-04T04:39:40Z,pig005
p0ken/OpenXcom,https://github.com/p0ken/OpenXcom,0,False,2021-02-28T10:50:29Z,2021-02-27T14:32:53Z,p0ken
fimmtiu/OpenXcom-AI,https://github.com/fimmtiu/OpenXcom-AI,24,False,2021-03-15T04:24:15Z,2021-04-04T20:53:25Z,fimmtiu
lgimberis/OpenXcom,https://github.com/lgimberis/OpenXcom,0,False,2021-03-20T10:40:18Z,2021-03-15T04:56:06Z,lgimberis
favlarez/OpenXcom,https://github.com/favlarez/OpenXcom,0,False,2021-03-30T18:09:39Z,2021-03-29T10:49:26Z,favlarez
CTimmerman/OpenXcom,https://github.com/CTimmerman/OpenXcom,0,False,2021-03-31T19:04:37Z,2021-03-29T10:49:26Z,CTimmerman
kjherron/OpenXcom,https://github.com/kjherron/OpenXcom,0,False,2021-04-01T15:08:50Z,2021-03-29T10:49:26Z,kjherron
Rohitpandit021/OpenXcom,https://github.com/Rohitpandit021/OpenXcom,0,False,2021-04-19T07:11:29Z,2021-04-18T22:17:35Z,Rohitpandit021
Northfear/OpenXcom-vita,https://github.com/Northfear/OpenXcom-vita,5,False,2021-04-21T15:18:33Z,2021-05-05T17:18:24Z,Northfear
stephenwhittle/OpenXcom,https://github.com/stephenwhittle/OpenXcom,0,False,2021-04-28T06:50:41Z,2021-04-30T01:02:51Z,stephenwhittle
Mechachleopteryx/OpenXcom,https://github.com/Mechachleopteryx/OpenXcom,0,False,2021-05-03T21:28:21Z,2021-04-28T06:33:30Z,Mechachleopteryx
crackerizer/OpenXcom,https://github.com/crackerizer/OpenXcom,0,False,2014-07-19T06:03:31Z,2014-07-25T09:34:18Z,crackerizer
FalkoOXC/OpenXcom,https://github.com/FalkoOXC/OpenXcom,4,True,2014-07-25T10:14:08Z,2014-12-09T17:13:01Z,FalkoOXC
pkrcel/OpenXcom,https://github.com/pkrcel/OpenXcom,1,True,2014-08-13T21:13:31Z,2014-10-01T16:45:22Z,pkrcel
lesslol/OpenXcom,https://github.com/lesslol/OpenXcom,35,False,2014-08-14T14:54:19Z,2014-12-05T09:27:21Z,lesslol
MeridianOXC/OpenXcom,https://github.com/MeridianOXC/OpenXcom,2025,True,2014-08-20T17:19:10Z,2021-05-16T22:10:49Z,MeridianOXC
pg1337/OpenXcom,https://github.com/pg1337/OpenXcom,0,False,2014-08-22T11:03:46Z,2014-08-22T07:42:28Z,pg1337
miguelgarciaarribas/OpenXcom-1,https://github.com/miguelgarciaarribas/OpenXcom-1,0,False,2014-09-02T09:16:21Z,2014-09-03T10:35:11Z,miguelgarciaarribas
Smjert/OpenXcom,https://github.com/Smjert/OpenXcom,1,True,2014-09-04T10:36:31Z,2015-01-04T00:16:27Z,Smjert
skymarshall/OpenXcom,https://github.com/skymarshall/OpenXcom,2,False,2014-09-04T11:51:03Z,2014-09-10T19:23:13Z,skymarshall
yason/OpenXcom,https://github.com/yason/OpenXcom,2,True,2014-09-08T10:24:51Z,2016-12-15T09:36:22Z,yason
berkus/OpenXcom,https://github.com/berkus/OpenXcom,5,False,2014-09-11T08:47:24Z,2014-10-23T22:12:33Z,berkus
AMDmi3/OpenXcom,https://github.com/AMDmi3/OpenXcom,2,True,2014-09-11T15:18:36Z,2014-09-13T00:19:52Z,AMDmi3
fastwings/OpenXcom,https://github.com/fastwings/OpenXcom,0,False,2014-09-12T14:43:17Z,2014-09-12T09:16:19Z,fastwings
Qrust/OpenXcom,https://github.com/Qrust/OpenXcom,0,False,2014-09-12T20:04:08Z,2014-09-12T09:16:19Z,Qrust
davideOXC/OpenXcom,https://github.com/davideOXC/OpenXcom,1,False,2014-10-06T12:56:54Z,2018-06-02T16:56:08Z,davideOXC
caiiiycuk/xcom-emscripten,https://github.com/caiiiycuk/xcom-emscripten,0,False,2014-10-20T12:28:59Z,2015-12-22T17:08:53Z,caiiiycuk
bslaveboy/OpenXcom,https://github.com/bslaveboy/OpenXcom,0,False,2014-10-21T20:20:33Z,2014-12-17T07:14:02Z,bslaveboy
jflohr3/OpenXcom,https://github.com/jflohr3/OpenXcom,0,False,2014-10-26T00:55:07Z,2014-10-24T09:38:42Z,jflohr3
ivanfaqerstein/OpenXcom,https://github.com/ivanfaqerstein/OpenXcom,0,False,2014-11-07T07:46:11Z,2014-10-27T19:40:26Z,ivanfaqerstein
MartinDC/OpenXcom-m,https://github.com/MartinDC/OpenXcom-m,0,False,2014-11-14T20:36:02Z,2014-10-27T19:40:26Z,MartinDC
BHSDuncan/OpenXcom,https://github.com/BHSDuncan/OpenXcom,0,False,2014-11-17T04:39:49Z,2016-06-23T03:18:49Z,BHSDuncan
korhadris/OpenXcom,https://github.com/korhadris/OpenXcom,2,True,2015-01-04T19:44:06Z,2015-01-10T19:44:50Z,korhadris
Bladum/OpenXcom,https://github.com/Bladum/OpenXcom,35,False,2015-01-06T12:18:01Z,2015-01-18T17:11:28Z,Bladum
oculushut/OpenXcom,https://github.com/oculushut/OpenXcom,0,False,2015-04-27T10:21:51Z,2015-04-23T20:33:15Z,oculushut
Tasoth/OpenXcom,https://github.com/Tasoth/OpenXcom,0,False,2015-05-25T18:11:17Z,2015-05-25T19:45:53Z,Tasoth
AngledStream/OpenXcom,https://github.com/AngledStream/OpenXcom,0,False,2015-06-25T20:52:47Z,2015-06-24T22:06:04Z,AngledStream
Arthanor/OpenXcom,https://github.com/Arthanor/OpenXcom,0,False,2015-07-13T19:14:39Z,2015-07-13T10:22:50Z,Arthanor
ryanwhitehouse/OpenXcom,https://github.com/ryanwhitehouse/OpenXcom,0,False,2015-07-19T05:36:08Z,2015-07-13T10:22:50Z,ryanwhitehouse
RJPercival/OpenXcom,https://github.com/RJPercival/OpenXcom,0,False,2015-07-30T02:27:44Z,2015-10-16T11:13:43Z,RJPercival
a-detiste/OpenXcom,https://github.com/a-detiste/OpenXcom,2,True,2015-08-02T11:49:45Z,2015-08-05T06:40:04Z,a-detiste
gerv/OpenXcom,https://github.com/gerv/OpenXcom,0,False,2015-08-02T13:11:20Z,2015-08-11T23:07:10Z,gerv
rcreasey/OpenXcom,https://github.com/rcreasey/OpenXcom,13,True,2015-08-06T03:51:18Z,2018-08-05T04:25:19Z,rcreasey
kaizhu256/OpenXcom,https://github.com/kaizhu256/OpenXcom,0,False,2015-08-10T02:22:53Z,2019-07-15T05:41:16Z,kaizhu256
Crutchmaster/OpenXcom,https://github.com/Crutchmaster/OpenXcom,0,False,2015-08-13T07:28:58Z,2017-02-02T08:50:36Z,Crutchmaster
bshortridge/OpenXcom,https://github.com/bshortridge/OpenXcom,0,False,2015-08-17T13:34:24Z,2016-05-30T22:15:50Z,bshortridge
CMDBob/OpenXcom,https://github.com/CMDBob/OpenXcom,0,False,2015-08-23T21:41:08Z,2015-08-23T21:10:16Z,CMDBob
scyt4l3/OpenXcom,https://github.com/scyt4l3/OpenXcom,0,False,2015-09-01T15:30:46Z,2015-09-01T06:49:07Z,scyt4l3
R1dO/OpenXcom,https://github.com/R1dO/OpenXcom,32,True,2015-09-09T20:15:08Z,2021-03-22T18:04:47Z,R1dO
NHOrus/OpenXcom,https://github.com/NHOrus/OpenXcom,35,True,2015-09-11T16:51:38Z,2020-07-08T18:10:23Z,NHOrus
DreamThorn/OpenXcom,https://github.com/DreamThorn/OpenXcom,1,True,2015-09-14T13:58:42Z,2015-09-29T15:17:15Z,DreamThorn
spdecker/OpenXcom,https://github.com/spdecker/OpenXcom,0,False,2015-09-17T14:39:48Z,2015-09-15T22:25:19Z,spdecker
0x90sled/OpenXcom,https://github.com/0x90sled/OpenXcom,0,False,2015-09-22T01:11:38Z,2015-09-21T07:32:18Z,0x90sled
Xracer/OXCHD,https://github.com/Xracer/OXCHD,96,True,2015-09-30T02:20:27Z,2018-04-02T04:37:13Z,Xracer
theomission/OpenXcom,https://github.com/theomission/OpenXcom,0,False,2015-11-13T10:04:52Z,2015-11-09T20:16:26Z,theomission
sheepo99/OpenXcom,https://github.com/sheepo99/OpenXcom,4,True,2015-11-21T15:48:21Z,2015-11-17T15:28:59Z,sheepo99
MoseySauce/OpenXcom,https://github.com/MoseySauce/OpenXcom,0,False,2015-11-25T00:51:04Z,2015-11-22T21:39:03Z,MoseySauce
tensea/OpenXcom,https://github.com/tensea/OpenXcom,0,False,2015-12-07T16:39:51Z,2020-01-11T16:06:38Z,tensea
pombredanne/OpenXcom,https://github.com/pombredanne/OpenXcom,0,False,2015-12-13T11:41:25Z,2015-12-12T17:35:46Z,pombredanne
wleroux/OpenXcom,https://github.com/wleroux/OpenXcom,0,False,2016-01-02T20:07:12Z,2016-01-03T18:46:12Z,wleroux
vkandola/OpenXcom,https://github.com/vkandola/OpenXcom,0,False,2016-01-03T07:34:30Z,2016-01-03T05:31:14Z,vkandola
tspoff/OpenXcom,https://github.com/tspoff/OpenXcom,5,False,2016-01-18T04:13:59Z,2016-02-03T21:45:37Z,tspoff
tbrush/XCOM-Upgrade,https://github.com/tbrush/XCOM-Upgrade,0,False,2016-01-18T14:51:33Z,2016-01-17T01:27:46Z,tbrush
Hordeking/OpenXcom,https://github.com/Hordeking/OpenXcom,0,False,2016-01-19T02:28:59Z,2019-06-09T05:51:14Z,Hordeking
nishazzar/OpenXcom,https://github.com/nishazzar/OpenXcom,0,False,2016-01-23T12:17:15Z,2016-01-23T00:16:22Z,nishazzar
holben/OpenXcom,https://github.com/holben/OpenXcom,0,False,2016-01-24T07:08:54Z,2016-01-23T15:52:34Z,holben
asarbs/OpenXcom,https://github.com/asarbs/OpenXcom,0,False,2016-01-31T16:14:22Z,2016-01-30T07:08:16Z,asarbs
Cloudxtreme/OpenXcom,https://github.com/Cloudxtreme/OpenXcom,0,False,2016-02-02T07:39:51Z,2016-02-02T05:03:41Z,Cloudxtreme
ziacko/OpenXcom,https://github.com/ziacko/OpenXcom,0,False,2016-02-05T04:25:19Z,2016-02-04T20:05:05Z,ziacko
RogerBennett/OpenXcom,https://github.com/RogerBennett/OpenXcom,0,False,2016-02-12T23:26:19Z,2016-02-04T20:05:05Z,RogerBennett
hartmark/OpenXcom,https://github.com/hartmark/OpenXcom,2,True,2016-03-03T00:23:56Z,2019-05-03T23:29:06Z,hartmark
thechap909/OpenXcom,https://github.com/thechap909/OpenXcom,0,False,2016-03-15T20:43:40Z,2016-03-14T23:37:07Z,thechap909
CliffsDover/OpenXcom,https://github.com/CliffsDover/OpenXcom,0,False,2016-04-01T02:00:32Z,2016-03-31T00:02:07Z,CliffsDover
bsmr-games/OpenXcom,https://github.com/bsmr-games/OpenXcom,0,False,2016-04-07T19:51:16Z,2016-04-06T23:09:02Z,bsmr-games
Xtendo-com/OpenXcom,https://github.com/Xtendo-com/OpenXcom,0,False,2016-04-20T16:37:01Z,2016-05-22T10:36:17Z,Xtendo-com
JDarthenay/OpenXcom,https://github.com/JDarthenay/OpenXcom,14,True,2016-04-27T19:06:27Z,2016-06-30T04:43:22Z,JDarthenay
hackur/OpenXcom,https://github.com/hackur/OpenXcom,0,False,2016-05-19T01:36:50Z,2016-05-15T22:27:00Z,hackur
maniacs-games/OpenXcom,https://github.com/maniacs-games/OpenXcom,0,False,2016-05-24T16:05:01Z,2016-09-21T10:15:42Z,maniacs-games
Manuel-K/OpenXcom,https://github.com/Manuel-K/OpenXcom,0,False,2016-06-05T11:19:37Z,2016-06-09T09:04:55Z,Manuel-K
cha63506/OpenXcom,https://github.com/cha63506/OpenXcom,0,False,2016-06-08T01:07:32Z,2016-06-05T11:25:19Z,cha63506
boozedog/OpenXcom,https://github.com/boozedog/OpenXcom,28,True,2016-06-15T19:32:07Z,2016-06-15T17:57:53Z,boozedog
jeancallisti/OpenXcom,https://github.com/jeancallisti/OpenXcom,0,False,2016-06-28T21:56:45Z,2016-06-27T01:56:02Z,jeancallisti
safecorners2015/OpenXcom,https://github.com/safecorners2015/OpenXcom,0,False,2016-08-24T15:36:06Z,2016-08-20T15:16:59Z,safecorners2015
TheStormkeeper/OpenXcom,https://github.com/TheStormkeeper/OpenXcom,0,False,2016-09-29T23:41:46Z,2016-09-25T15:26:17Z,TheStormkeeper
franciscobacona/OpenXcom,https://github.com/franciscobacona/OpenXcom,0,False,2016-11-01T06:43:20Z,2016-11-01T07:18:03Z,franciscobacona
uqs/OpenXcom,https://github.com/uqs/OpenXcom,20,True,2016-11-23T19:05:25Z,2021-01-19T09:39:46Z,uqs
bettina86/OpenXcom,https://github.com/bettina86/OpenXcom,0,False,2016-12-09T21:46:36Z,2016-12-05T17:05:14Z,bettina86
digideskio/OpenXcom,https://github.com/digideskio/OpenXcom,0,False,2017-01-10T00:27:47Z,2017-01-09T22:09:10Z,digideskio
slowriot/OpenXcom,https://github.com/slowriot/OpenXcom,1,True,2017-01-18T02:22:41Z,2017-01-18T02:25:36Z,slowriot
specialsymbol/OpenXcom,https://github.com/specialsymbol/OpenXcom,0,False,2017-02-10T00:07:16Z,2017-02-08T23:23:34Z,specialsymbol
kristomu/OpenXcom,https://github.com/kristomu/OpenXcom,19,True,2017-02-21T10:53:17Z,2017-03-07T18:55:59Z,kristomu
woutershep/OpenXcom,https://github.com/woutershep/OpenXcom,0,False,2017-03-01T14:43:39Z,2017-03-01T15:14:01Z,woutershep
snicmtl/OpenXcom,https://github.com/snicmtl/OpenXcom,0,False,2017-03-08T21:10:30Z,2017-03-08T20:22:52Z,snicmtl
resultant-gamedev/OpenXcom,https://github.com/resultant-gamedev/OpenXcom,0,False,2017-04-02T06:45:52Z,2017-03-21T23:20:58Z,resultant-gamedev
hayate891/OpenXcom,https://github.com/hayate891/OpenXcom,0,False,2017-04-10T19:54:45Z,2017-04-02T07:10:18Z,hayate891
link2xt/OpenXcom,https://github.com/link2xt/OpenXcom,0,False,2017-05-26T11:18:02Z,2017-05-26T07:09:46Z,link2xt
eroen/OpenXcom,https://github.com/eroen/OpenXcom,0,False,2017-05-28T09:14:23Z,2017-05-26T22:29:55Z,eroen
hellrazor4223/OpenXcom,https://github.com/hellrazor4223/OpenXcom,0,False,2017-06-05T12:00:50Z,2017-06-27T21:42:35Z,hellrazor4223
azamorapl/OpenXcom,https://github.com/azamorapl/OpenXcom,1,True,2017-06-14T16:54:28Z,2017-06-28T23:49:20Z,azamorapl
cainiao1989/OpenXcom,https://github.com/cainiao1989/OpenXcom,0,False,2017-06-25T07:27:41Z,2017-06-18T16:51:50Z,cainiao1989
potatocommune/OpenXcom,https://github.com/potatocommune/OpenXcom,0,False,2017-06-26T12:51:42Z,2017-06-26T11:03:17Z,potatocommune
